Názov,Mesiac zápisu,Mesiac vzniku,Autor,Oblasť,Typ,Odkaz,HVD,PM,Spoplatnenie,Popis,Použité datasety
Participatívny rozpočet TTSK 2021-2023,07_2023,02_2023,Samosprávne,Transparentnosť,geovizualizácia,https://www.arcgis.com/apps/dashboards/0c4659eb64ee4096945cd8f3db58bf06,,,zadarmo,,
Intenzita dopravy a dopravné nehody v TTSK,07_2023,02_2023,Samosprávne,Doprava,geovizualizácia,https://www.arcgis.com/apps/dashboards/e2bd69e2322d4386b24d729738056d70,,,zadarmo,,
Skládky na území TTSK,07_2023,03_2023,Samosprávne,Životné prostredie,geovizualizácia,https://www.arcgis.com/apps/dashboards/ba58fa8d023a410888e5a7854e1ddd52,x,,zadarmo,,
Organizácie v zriaďovateľskej pôsobnosti TTSK,07_2023,12_2022,Samosprávne,Transparentnosť,geovizualizácia,https://www.arcgis.com/apps/dashboards/fbb7efe9902c4cd5bbf9cfaa59cb631e,,,zadarmo,,
Ekologický čin roka,07_2023,03_2023,Samosprávne,Životné prostredie,geovizualizácia,https://www.arcgis.com/apps/dashboards/8b2c368d273f4d4087b8856028f7d3d5,,,zadarmo,,
"Neverejní poskytovatelia sociálnych služieb v TTSK, podporovaní z rozpočtu ÚTTSK",07_2023,12_2022,Samosprávne,Sociálne veci,geovizualizácia,https://www.arcgis.com/apps/dashboards/df4f88ab7bf347ebb5950ba26b360b48,,,zadarmo,,Neverejní poskytovatelia sociálnych služieb v TTSK
Subjekty sociálnoprávnej ochrany detí a sociálnej kurately,07_2023,12_2023,Samosprávne,Sociálne veci,geovizualizácia,https://www.arcgis.com/apps/dashboards/e1e053668b55443fb33d023d80ddcdf5,,,zadarmo,,
Zdravotnícke zariadenia v TTSK,07_2023,01_2023,Samosprávne,Zdravie,geovizualizácia,https://www.arcgis.com/apps/dashboards/1df60239ddbb48aca7139eb0fd8e7a4b,,,zadarmo,,Zdravotnícke zariadenia v TTSK
"Rekonštrucie mostov, ciest a priepustov v TTSK",07_2023,12_2022,Samosprávne,Doprava,geovizualizácia,https://www.arcgis.com/apps/dashboards/fca23ad762b847ab8399467de2d65df9,x,,zadarmo,,
Dobývacie priestory Chránene ložiskové územia TTSK,07_2023,03_2023,Samosprávne,Životné prostredie,geovizualizácia,https://www.arcgis.com/apps/dashboards/2cae50d890e94f1e8e50e27d97fd43c1,,,zadarmo,,
Chránené územia TTSK,07_2023,02_2023,Samosprávne,Životné prostredie,geovizualizácia,https://www.arcgis.com/apps/dashboards/9e1309023bcd432a8eb44c34482724f4,x,,zadarmo,,
Žiadosti o sprístupnenie informácií podľa zákona č. 211/2000 Z. z. o slobodnom prístupe k informáciám ,07_2023,04_2023,Samosprávne,Transparentnosť,geovizualizácia,https://www.arcgis.com/apps/dashboards/547818636c05472795d9a9fe2debf646,,,zadarmo,,
Vybavovanie petícií,07_2023,04_2023,Samosprávne,Transparentnosť,geovizualizácia,https://www.arcgis.com/apps/dashboards/f615b3a8ff604dfc979aee5d24f9330a,,,zadarmo,,Vybavovanie petícií
Poskytovateľia sociálnych služieb v TTSK,07_2023,02_2023,Samosprávne,Sociálne veci,geovizualizácia,https://www.arcgis.com/apps/dashboards/b42c5d043b2a4e9088c9d086fff78590,,,zadarmo,,
Vybavovanie sťažností,07_2023,05_2023,Samosprávne,Transparentnosť,geovizualizácia,https://www.arcgis.com/apps/dashboards/36d7d30e0d4a4673a9c1607e842ecb2a,,,zadarmo,,Vybavovanie sťažností
Lekárne v TTSK,07_2023,03_2023,Samosprávne,Zdravie,geovizualizácia,https://www.arcgis.com/apps/dashboards/1db0652e4b3d428cbe683ca5f77f50f5,,,zadarmo,,EVUC Lekárne TTSK (aktualizované)
Lekárenská pohotovostná služba v TTSK,07_2023,03_2023,Samosprávne,Zdravie,geovizualizácia,https://www.arcgis.com/apps/dashboards/b61dbe74b637468f940cbe39b0e0e718,,,zadarmo,,
Register projektov EÚ v TTSK,07_2023,03_2023,Samosprávne,Transparentnosť,geovizualizácia,https://www.arcgis.com/apps/dashboards/d87645dd8cf147d5932b7e09d882dbdc,,,zadarmo,,
Register investícií TTSK,07_2023,12_2022,Samosprávne,Transparentnosť,geovizualizácia,https://www.arcgis.com/apps/dashboards/22c12930771b45938b2feaa37d0db9b0,,,zadarmo,,
Register projektov a investícii ,07_2023,03_2023,Samosprávne,Transparentnosť,geovizualizácia,https://www.arcgis.com/apps/dashboards/c2c61bb58f314c82a5274fb53cd75223,,,zadarmo,,
Riečna sieť TTSK,07_2023,03_2023,Samosprávne,Životné prostredie,geovizualizácia,https://www.arcgis.com/apps/dashboards/50c4e0169d0841f3976b218b80707e0a,,,zadarmo,,
Environmentálna zátaž,07_2023,02_2023,Samosprávne,Životné prostredie,geovizualizácia,https://www.arcgis.com/apps/dashboards/44fc28a29177485d807b201fc339e6ed,x,,zadarmo,,
Mestá a obce TTSK,07_2023,04_2023,Samosprávne,Samospráva,geovizualizácia,https://www.arcgis.com/apps/dashboards/fc61524f885741a5815556c9a7c4b8d4,,,zadarmo,,
Obce s vybudovanou ČOV kanalizácie vodovody,07_2023,03_2023,Samosprávne,Životné prostredie,geovizualizácia,https://www.arcgis.com/apps/dashboards/95d9b96f4d554f6bbd04030217025fe4,,,zadarmo,,
Pasportizačný list národných kultúrnych pamiatok TTSK,07_2023,04_2023,Samosprávne,Kultúra,geovizualizácia,https://www.arcgis.com/apps/dashboards/a4b8cab456ad4ad6ae5230c717c33bbc,,,zadarmo,,
Cenzus BA,07_2023,2019,Samosprávne,Samospráva,vizualizácia,https://opendata.bratislava.sk/page/cenzus,,,zadarmo,,
Cyklo BA,07_2023,2019,Samosprávne,Doprava,vizualizácia,https://opendata.bratislava.sk/page/cyclo,,,zadarmo,,Cyklosčítač/e
Energie BA,07_2023,2019,Samosprávne,Energie,vizualizácia,https://opendata.bratislava.sk/page/buildings,,,zadarmo,,"Prehľad ročných nákladov budov, Spotreba"
Chodci BA,07_2023,2019,Samosprávne,Doprava,vizualizácia,https://opendata.bratislava.sk/page/pedestrians,,,zadarmo,,Počet prechodov
Indikátory BA,07_2023,2019,Samosprávne,Samospráva,vizualizácia,https://opendata.bratislava.sk/page/longstats,,,zadarmo,Dlhodobo sledované indikátory mesta Bratislava,
Kultúra BA,07_2023,2019,Samosprávne,Kultúra,vizualizácia,https://opendata.bratislava.sk/page/culture,,,zadarmo,,"Priemerná návštevnosť, Počet výpožičiek"
Ľudia BA,07_2023,2019,Samosprávne,Samospráva,vizualizácia,https://opendata.bratislava.sk/page/people,,,zadarmo,,
Ovzdušie BA,07_2023,2019,Samosprávne,Životné prostredie,vizualizácia,https://opendata.bratislava.sk/page/meteo,,,zadarmo,,
Wi-fi BA,07_2023,2019,Samosprávne,Informatizácia,vizualizácia,https://opendata.bratislava.sk/onlinedata/,,,zadarmo,,Online dáta
APP Mapy BA,07_2023,2019,Samosprávne,Geodáta,geovizualizácia,https://opendata.bratislava.sk/page/appmaps,,,zadarmo,Vizualizácie dát na mapách,
